Date,Apple,Amazon,DBS
9/12/2019,55.772499,92.177498,25.25
9/13/2019,54.6875,91.967003,25.370001
9/16/2019,54.974998,90.391998,25.559999
9/17/2019,55.174999,91.127502,25.469999
9/18/2019,55.692501,90.873001,25.299999
9/19/2019,55.240002,91.074997,25.030001
9/20/2019,54.432499,89.708,25
9/23/2019,54.68,89.264999,25.15
9/24/2019,54.419998,87.080498,24.91
9/25/2019,55.2575,88.416496,25.040001
9/26/2019,54.9725,86.991997,24.73
9/27/2019,54.705002,86.272499,24.82
9/30/2019,55.9925,86.795502,24.9
10/1/2019,56.147499,86.782501,25
10/2/2019,54.740002,85.661499,25.24
10/3/2019,55.205002,86.221001,24.77
10/4/2019,56.752499,86.982498,24.57
10/7/2019,56.764999,86.633003,24.549999
10/8/2019,56.099998,85.275497,24.68
10/9/2019,56.7575,86.099503,24.76
10/10/2019,57.522499,86.013,24.6
10/11/2019,59.052502,86.596001,24.709999
10/14/2019,58.967499,86.821503,24.9
10/15/2019,58.830002,88.369003,25
10/16/2019,58.592499,88.871498,24.940001
10/17/2019,58.82,89.374001,25.049999
10/18/2019,59.102501,87.875504,24.940001
10/21/2019,60.127499,89.282997,24.780001
10/22/2019,59.990002,88.286499,24.780001
10/23/2019,60.794998,88.108498,24.91
10/24/2019,60.895,89.039001,24.790001
10/25/2019,61.645,88.066498,25.08
10/28/2019,62.262501,88.853996,25.18
10/29/2019,60.822498,88.135498,25.370001
10/30/2019,60.814999,88.999496,25.690001
10/31/2019,62.189999,88.833,26
11/1/2019,63.955002,89.571999,25.870001
11/4/2019,64.375,90.233002,26.129999
11/5/2019,64.282501,90.085503,26.17
11/6/2019,64.309998,89.788498,26.4
11/7/2019,64.857498,89.410004,26.66
11/8/2019,65.035004,89.293999,26.610001
11/11/2019,65.550003,88.582497,26.639999
11/12/2019,65.489998,88.900002,26.73
11/13/2019,66.1175,87.655502,26.629999
11/14/2019,65.660004,87.730003,26.559999
11/15/2019,66.440002,86.974503,26.620001
11/18/2019,66.775002,87.626503,26.6
11/19/2019,66.572502,87.639503,26.440001
11/20/2019,65.797501,87.276497,26.18
11/21/2019,65.502502,86.735497,25.639999
11/22/2019,65.445,87.286003,25.799999
11/25/2019,66.592499,88.692001,25.65
11/26/2019,66.072502,89.847,25.75
11/27/2019,66.959999,90.925499,25.780001
11/29/2019,66.8125,90.040001,25.530001
12/2/2019,66.040001,89.080002,25.25
12/3/2019,64.862503,88.498001,25.129999
12/4/2019,65.434998,88.0345,24.98
12/5/2019,66.394997,87.024002,24.92
12/6/2019,67.677498,87.580002,25.01
12/9/2019,66.730003,87.475502,25.120001
12/10/2019,67.120003,86.960503,25.01
12/11/2019,67.692497,87.435997,24.950001
12/12/2019,67.864998,88.016502,25.049999
12/13/2019,68.787498,88.046997,25.5
12/16/2019,69.964996,88.460503,25.82
12/17/2019,70.102501,89.532997,25.700001
12/18/2019,69.934998,89.2015,25.66
12/19/2019,70.004997,89.613998,25.809999
12/20/2019,69.860001,89.324997,25.940001
12/23/2019,71,89.650002,25.969999
12/24/2019,71.067497,89.460503,25.91
12/26/2019,72.477501,93.438499,25.99
12/27/2019,72.449997,93.489998,25.99
12/30/2019,72.879997,92.344498,26
12/31/2019,73.412498,92.391998,25.950001
1/2/2020,75.087502,94.900497,25.83
1/3/2020,74.357498,93.748497,25.879999
1/6/2020,74.949997,95.143997,26.110001
1/7/2020,74.597504,95.343002,26
1/8/2020,75.797501,94.598503,25.860001
1/9/2020,77.407501,95.052498,26.049999
1/10/2020,77.582497,94.157997,25.73
1/13/2020,79.239998,94.565002,25.860001
1/14/2020,78.169998,93.472,26
1/15/2020,77.834999,93.100998,26.1
1/16/2020,78.809998,93.897003,26.25
1/17/2020,79.682503,93.236,26.08
1/21/2020,79.142502,94.599998,26.33
1/22/2020,79.425003,94.373001,26.35
1/23/2020,79.807503,94.228996,26.379999
1/24/2020,79.577499,93.082001,26.299999
1/27/2020,77.237503,91.417,26.4
1/28/2020,79.422501,92.662498,26.25
1/29/2020,81.084999,92.900002,26.200001
1/30/2020,80.967499,93.533997,25.85
1/31/2020,77.377502,100.435997,25.83
2/3/2020,77.165001,100.209999,25.690001
2/4/2020,79.712502,102.483498,25.370001
2/5/2020,80.362503,101.9935,24.9
2/6/2020,81.302498,102.511497,25.15
2/7/2020,80.0075,103.963997,25.450001
2/10/2020,80.387497,106.695503,25.700001
2/11/2020,79.902496,107.540001,25.309999
2/12/2020,81.800003,108,25.110001
2/13/2020,81.217499,107.4935,25.09
2/14/2020,81.237503,106.7435,25.42
2/18/2020,79.75,107.783501,25.42
2/19/2020,80.904999,108.511002,25.549999
2/20/2020,80.074997,107.654999,25.48
2/21/2020,78.262497,104.7985,25.27
2/24/2020,74.544998,100.4645,25.309999
2/25/2020,72.019997,98.637001,25.1
2/26/2020,73.162498,98.9795,25.08
2/27/2020,68.379997,94.214996,24.85
2/28/2020,68.339996,94.1875,24.93
3/2/2020,74.702499,97.697502,24.66
3/3/2020,72.330002,95.449501,24.82
3/4/2020,75.684998,98.791496,24.110001
3/5/2020,73.230003,96.2015,24.049999
3/6/2020,72.2575,95.054497,24.16
3/9/2020,66.542503,90.030502,23.91
3/10/2020,71.334999,94.591003,23.6
3/11/2020,68.857498,91.042999,23
3/12/2020,62.057499,83.830498,21.15
3/13/2020,69.4925,89.25,21.49
3/16/2020,60.552502,84.457497,21.01
3/17/2020,63.215,90.391998,20.200001
3/18/2020,61.6675,91.5,19.35
3/19/2020,61.195,94.046501,18.58
3/20/2020,57.310001,92.304497,18
3/23/2020,56.092499,95.141502,18
3/24/2020,61.720001,97.004997,17.4
3/25/2020,61.380001,94.292,18.16
3/26/2020,64.610001,97.774498,16.879999
3/27/2020,61.935001,95.004997,18.209999
3/30/2020,63.702499,98.197502,19.42
3/31/2020,63.572498,97.486,19.059999
4/1/2020,60.227501,95.385002,19.139999
4/2/2020,61.232498,95.941498,18.299999
4/3/2020,60.352501,95.329498,18.57
4/6/2020,65.6175,99.879501,18.15
4/7/2020,64.857498,100.580002,18.41
4/8/2020,66.517502,102.150002,17.92
4/9/2020,66.997498,102.138,18.4
4/13/2020,68.3125,108.443497,19.110001
4/14/2020,71.762497,114.166,18.83
4/15/2020,71.107498,115.384003,19.139999
4/16/2020,71.672501,120.4095,19.280001
4/17/2020,70.699997,118.75,19.860001
4/20/2020,69.232498,119.680496,19.5
4/21/2020,67.092499,116.405998,19.379999
4/22/2020,69.025002,118.1745,19.280001
4/23/2020,68.7575,119.972504,19.1
4/24/2020,70.7425,120.511002,18.84
4/27/2020,70.792503,118.800003,18.74
4/28/2020,69.644997,115.704002,18.74
4/29/2020,71.932503,118.635498,18.67
4/30/2020,73.449997,123.699997,19
5/1/2020,72.267502,114.302002,19.07
5/4/2020,73.290001,115.7995,19.200001
5/5/2020,74.389999,115.889999,19.959999
5/6/2020,75.157501,117.563004,19.57
5/7/2020,75.934998,118.380501,19.700001
5/8/2020,77.532501,118.980499,19.74
5/11/2020,78.752502,120.449997,19.700001
5/12/2020,77.852501,117.847504,20
5/13/2020,76.912498,118.396004,19.35
5/14/2020,77.385002,119.442497,19.280001
5/15/2020,76.927498,120.488998,18.959999
5/18/2020,78.739998,121.313004,19
5/19/2020,78.285004,122.466499,19.08
5/20/2020,79.807503,124.897003,19.610001
5/21/2020,79.212502,122.336998,19.5
5/22/2020,79.722504,121.844002,19.450001
5/26/2020,79.182503,121.093002,19.18
5/27/2020,79.527496,120.519501,19.440001
5/28/2020,79.5625,120.055,19.440001
5/29/2020,79.485001,122.1185,19.639999
6/1/2020,80.462502,123.552002,19.469999
6/2/2020,80.834999,123.620499,19.66
6/3/2020,81.279999,123.919998,20.209999
6/4/2020,80.580002,123.029999,21.799999
6/5/2020,82.875,124.150002,21.99
6/8/2020,83.364998,126.203003,22.280001
6/9/2020,85.997498,130.042999,23.09
6/10/2020,88.209999,132.372498,22.950001
6/11/2020,83.974998,127.898003,23.059999
6/12/2020,84.699997,127.250999,22.15
6/15/2020,85.747498,128.634003,21.93
6/16/2020,88.019997,130.763504,21.299999
6/17/2020,87.897499,132.048996,21.66
6/18/2020,87.932503,132.699005,21.57
6/19/2020,87.43,133.750504,21.52
6/22/2020,89.717499,135.690994,21.16
6/23/2020,91.6325,138.220505,21.049999
6/24/2020,90.014999,136.720001,21.129999
6/25/2020,91.209999,137.729004,21.1
6/26/2020,88.407501,134.643494,20.690001
6/29/2020,90.445,134.018997,20.82
6/30/2020,91.199997,137.940994,20.52
7/1/2020,91.027496,143.934998,20.799999
7/2/2020,91.027496,144.514999,21.049999
7/6/2020,93.462502,152.852005,21.280001
7/7/2020,93.172501,150.005997,21.57
7/8/2020,95.342499,154.055496,21.969999
7/9/2020,95.752502,159.1315,21.67
7/10/2020,95.919998,160,21.790001
7/13/2020,95.477501,155.199997,21.65
7/14/2020,97.057503,154.199997,21.540001
7/15/2020,97.724998,150.443497,21.48
7/16/2020,96.522499,149.994995,21.879999
7/17/2020,96.327499,148.098495,21.6
7/20/2020,98.357498,159.841995,21.379999
7/21/2020,97,156.914505,21.290001
7/22/2020,97.272499,154.995499,21.4
7/23/2020,92.845001,149.327499,21.08
7/24/2020,92.614998,150.445496,21.1
7/27/2020,94.809998,152.760498,20.639999
7/28/2020,93.252502,150.016495,20.58
7/29/2020,95.040001,151.676498,20.5
7/30/2020,96.190002,152.593994,20.4
7/31/2020,106.260002,158.233994,19.77
8/3/2020,108.9375,155.594498,19.450001
8/4/2020,109.665001,156.941498,19.690001
8/5/2020,110.0625,160.251495,19.83
8/6/2020,113.902496,161.25,20.4
8/7/2020,111.112503,158.373001,20.6
8/10/2020,112.727501,157.408005,20.85
8/11/2020,109.375,154.033493,21.01
8/12/2020,113.010002,158.112,21.42
8/13/2020,115.010002,158.050995,21.07
8/14/2020,114.907501,157.401001,21
8/17/2020,114.607498,159.120499,20.74
